id,title,type,release_year,age_certification,runtime,genres,production_countries,imdb_score,tmdb_popularity,on_amazon,on_apple,on_disney,on_hbo,on_netflix,on_paramount
tm1018418,Two Distant Strangers,MOVIE,2021,R,32,['drama'],['US'],,8.319,,,,,1.0,
tm1018427,Moxie,MOVIE,2021,PG-13,111,"['music', 'comedy', 'drama']",['US'],6.7,20.59,,,,,1.0,
tm1018455,The Deep House,MOVIE,2021,,85,"['horror', 'thriller', 'drama']","['BE', 'FR']",5.4,185.533,1.0,,,,,1.0
tm1018568,The Parish,MOVIE,2021,,81,"['horror', 'thriller']",['US'],,0.6,1.0,,,,,
tm1018586,The Connection,MOVIE,2021,,90,['scifi'],[],3.0,1.784,1.0,,,,,
tm1018592,A Perfect Fit,MOVIE,2021,,112,"['comedy', 'drama', 'romance']",['ID'],5.3,23.724,,,,,1.0,
tm101860,Captain Scarlett,MOVIE,1953,,75,"['action', 'drama']",['US'],4.6,2.194,1.0,,,,,1.0
tm1018677,Disney My Music Story: Perfume,MOVIE,2020,,71,"['documentation', 'music']",['JP'],6.4,0.642,,,1.0,,,
tm1018698,Calls,MOVIE,2021,,151,"['drama', 'thriller']",['IN'],,0.953,1.0,,,,,
tm1018699,Lazarus,MOVIE,2021,,105,"['action', 'scifi']",['US'],3.3,5.589,1.0,,,,,
tm1018704,Shanghai Disney Resort Grand Opening Gala,MOVIE,2016,G,25,['music'],"['US', 'CN']",,0.713,,,1.0,,,
tm1018747,Live Is Life,MOVIE,2022,,110,"['comedy', 'drama']",['ES'],7.0,27.199,,,,,1.0,
tm1018769,Disney Illuminations Firework Show Disneyland Paris,MOVIE,2017,,19,['music'],['FR'],,1.268,,,1.0,,,
tm101886,Zomblies,MOVIE,2010,,44,"['horror', 'action', 'drama']",['GB'],5.4,1.174,1.0,,,,,
tm1018890,Seaspiracy,MOVIE,2021,,89,['documentation'],['US'],8.1,7.09,,,,,1.0,
tm1018984,Double Down,MOVIE,2020,,108,['drama'],[],4.4,,1.0,,,,,
tm101902,The Owls,MOVIE,2010,,66,"['thriller', 'crime', 'drama']",['US'],4.9,1.345,1.0,,,,,1.0
tm1019060,Anbirkiniyal,MOVIE,2021,,118,"['thriller', 'drama']",['IN'],6.8,2.191,1.0,,,,,
tm1019084,Ginny & Georgia - The Afterparty,MOVIE,2021,R,35,[],"['CA', 'US']",,3.715,,,,,1.0,
tm1019089,MAX: Live from the Greek Theatre,MOVIE,2021,,42,['music'],[],,0.6,1.0,,,,,
tm1019117,April 28th Em Jarigindi,MOVIE,2021,,122,"['thriller', 'horror']",['IN'],,0.706,1.0,,,,,
tm101914,The Fighter,MOVIE,2010,R,114,['drama'],['US'],,14.111,1.0,,,,,1.0
tm101914,The Fighter,MOVIE,2010,R,115,['drama'],['US'],,17.007,,,,,1.0,
tm1019177,The Colony,MOVIE,2021,R,104,"['scifi', 'thriller', 'action']","['CH', 'DE']",5.3,23.747,,,,,1.0,
tm1019209,Cannibal Troll,MOVIE,2021,,85,['horror'],['GB'],2.3,7.931,1.0,,,,,
tm101921,Captain Scarface,MOVIE,1953,,72,"['romance', 'action', 'drama', 'thriller']",['US'],4.7,1.837,1.0,,,,,1.0
tm1019325,After the Reign,MOVIE,2020,R,85,[],['US'],,0.697,1.0,,,,,
tm1019345,The Fallout,MOVIE,2022,R,92,['drama'],['US'],7.0,81.629,,,,1.0,,
